;EMISSIONS OF AIR POLLUTANTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Quantities in thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Source;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;0,65;0,90;0,91;0,95;0,99;1,03;1,08;1,14;1,15;1,15;1,10;1,13;1,23;1,33;1,32;1,24;1,23;1,20;1,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;0,26;0,37;0,39;0,40;0,43;0,44;0,45;0,46;0,47;0,45;0,42;0,45;0,45;0,39;0,39;0,36;0,31;0,34;0,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Fugitive Emissions from Fuels;0,04;0,05;0,05;0,07;0,07;0,07;0,07;0,07;0,07;0,06;0,02;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;0,07;0,08;0,08;0,08;0,08;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture;0,67;0,65;0,67;0,55;0,47;0,49;0,49;0,53;0,43;0,35;0,39;0,40;0,36;0,34;0,27;0,23;0,27;0,21;0,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CARBON MONOXIDE (CO);55,71;48,03;46,30;44,01;40,92;38,71;36,42;35,12;34,14;33,17;30,27;27,81;25,68;24,87;23,02;20,70;19,36;17,93;16,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;51,87;44,85;43,33;41,24;38,33;36,29;34,31;33,07;32,18;31,35;28,62;26,36;24,98;24,32;22,62;20,32;19,02;17,62;16,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;0,34;0,42;0,44;0,47;0,51;0,54;0,57;0,57;0,59;0,63;0,66;0,70;0,72;0,74;0,25;0,46;0,45;0,55;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;2,85;3,16;3,38;3,26;3,09;3,11;3,20;3,14;3,24;3,21;3,46;3,47;3,66;3,66;3,59;2,96;2,53;2,53;2,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;46,81;39,44;37,72;35,71;32,96;30,85;28,78;27,49;26,54;25,75;22,82;20,48;18,95;18,27;17,04;15,18;14,38;12,96;11,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
