DISTRICT,HOUSEHOLDS,HOUSEHOLDS,HOUSEHOLDS,INSTITUTIONS,INSTITUTIONS,INSTITUTIONS,ALLGroups,ALLGroups,ALLGroups
,Total,Males,Females,Total,Males,Females,Total,Males,Females
LEFKOSIA DISTRICT,324.952,157.307,167.645,2.028,955,1.073,326.980,158.262,168.718
AMMOCHOSTOS DISTRICT,46.581,23.172,23.409,48,16,32,46.629,23.188,23.441
LARNAKA DISTRICT,142.714,69.953,72.761,478,163,315,143.192,70.116,73.076
LEMESOS DISTRICT,234.204,113.281,120.923,1.126,355,771,235.330,113.636,121.694
PAFOS DISTRICT,88.115,43.515,44.600,161,63,98,88.276,43.578,44.698
